X;Y
-2;0
-1.9;0.6244997998
-1.8;0.8717797887
-1.7;1.053565375
-1.6;1.2
-1.5;1.322875656
-1.4;1.428285686
-1.3;1.519868415
-1.2;1.6
-1.1;1.670329309
-1;0.00000003942476677
-0.9;0.4358898944
-0.8;0.6
-0.7;0.7141428429
-0.6;0.8
-0.5;0.8660254038
-0.4;0.916515139
-0.3;0.9539392014
-0.2;0.9797958971
-0.1;0.9949874371
0;1
0.1;0.9949874371
0.2;0.9797958971
0.3;0.9539392014
0.4;0.916515139
0.5;0.8660254038
0.6;0.8
0.7;0.7141428429
0.8;0.6
0.9;0.4358898944
1;0
1.1;1.670329309
1.2;1.6
1.3;1.519868415
1.4;1.428285686
1.5;1.322875656
1.6;1.2
1.7;1.053565375
1.8;0.8717797887
1.9;0.6244997998
2;0
-1;1.732050808
-0.9;1.78605711
-0.8;1.833030278
-0.7;1.8734994
-0.6;1.907878403
-0.5;1.936491673
-0.4;1.959591794
-0.3;1.977371993
-0.2;1.989974874
-0.1;1.997498436
0;2
0.1;1.997498436
0.2;1.989974874
0.3;1.977371993
0.4;1.959591794
0.5;1.936491673
0.6;1.907878403
0.7;1.8734994
0.8;1.833030278
0.9;1.78605711
1;1.732050808
